2026-08-08 21:25:52,585 | INFO | MainThread | epoch 68 dev metrics (tuned thresholds): st1_macro_f1=0.624, st2_macro_f1=0.650, st3_macro_f1=0.527, st3_family_macro_f1=0.647, mean_macro_f1=0.600
2026-08-08 21:26:39,397 | INFO | MainThread | epoch 69: mean train loss = 0.3321
2026-08-08 21:26:47,337 | INFO | MainThread | epoch 69 dev metrics (tuned thresholds): st1_macro_f1=0.614, st2_macro_f1=0.655, st3_macro_f1=0.533, st3_family_macro_f1=0.646, mean_macro_f1=0.601
2026-08-08 21:27:32,782 | INFO | MainThread | epoch 70: mean train loss = 0.3310
2026-08-08 21:27:42,120 | INFO | MainThread | epoch 70 dev metrics (tuned thresholds): st1_macro_f1=0.644, st2_macro_f1=0.649, st3_macro_f1=0.528, st3_family_macro_f1=0.642, mean_macro_f1=0.607
2026-08-08 21:28:27,606 | INFO | MainThread | epoch 71: mean train loss = 0.3259
2026-08-08 21:28:35,595 | INFO | MainThread | epoch 71 dev metrics (tuned thresholds): st1_macro_f1=0.659, st2_macro_f1=0.654, st3_macro_f1=0.532, st3_family_macro_f1=0.648, mean_macro_f1=0.615
2026-08-08 21:28:35,644 | INFO | MainThread | epoch 71: new best mean_macro_f1=0.615, saved to runs/last_layer_roberta/best
2026-08-08 21:29:22,442 | INFO | MainThread | epoch 72: mean train loss = 0.3303
2026-08-08 21:29:30,373 | INFO | MainThread | epoch 72 dev metrics (tuned thresholds): st1_macro_f1=0.648, st2_macro_f1=0.653, st3_macro_f1=0.511, st3_family_macro_f1=0.652, mean_macro_f1=0.604
2026-08-08 21:30:17,283 | INFO | MainThread | epoch 73: mean train loss = 0.3201
2026-08-08 21:30:25,216 | INFO | MainThread | epoch 73 dev metrics (tuned thresholds): st1_macro_f1=0.628, st2_macro_f1=0.655, st3_macro_f1=0.535, st3_family_macro_f1=0.652, mean_macro_f1=0.606
2026-08-08 21:31:10,992 | INFO | MainThread | epoch 74: mean train loss = 0.3203
2026-08-08 21:31:20,369 | INFO | MainThread | epoch 74 dev metrics (tuned thresholds): st1_macro_f1=0.651, st2_macro_f1=0.650, st3_macro_f1=0.525, st3_family_macro_f1=0.648, mean_macro_f1=0.609
