2026-08-04 15:25:39,361 | INFO | MainThread | epoch 43 dev metrics: st1_macro_f1=0.652, st2_macro_f1=0.618, st3_macro_f1=0.378, st3_family_macro_f1=0.574, mean_macro_f1=0.550
2026-08-04 15:27:22,024 | INFO | MainThread | epoch 44: mean train loss = 0.2508
2026-08-04 15:27:31,841 | INFO | MainThread | epoch 44 dev metrics: st1_macro_f1=0.650, st2_macro_f1=0.612, st3_macro_f1=0.385, st3_family_macro_f1=0.568, mean_macro_f1=0.549
2026-08-04 15:29:14,679 | INFO | MainThread | epoch 45: mean train loss = 0.2458
2026-08-04 15:29:24,473 | INFO | MainThread | epoch 45 dev metrics: st1_macro_f1=0.649, st2_macro_f1=0.627, st3_macro_f1=0.403, st3_family_macro_f1=0.576, mean_macro_f1=0.560
2026-08-04 15:31:07,167 | INFO | MainThread | epoch 46: mean train loss = 0.2434
2026-08-04 15:31:17,109 | INFO | MainThread | epoch 46 dev metrics: st1_macro_f1=0.630, st2_macro_f1=0.614, st3_macro_f1=0.400, st3_family_macro_f1=0.589, mean_macro_f1=0.548
2026-08-04 15:32:59,971 | INFO | MainThread | epoch 47: mean train loss = 0.2392
2026-08-04 15:33:09,812 | INFO | MainThread | epoch 47 dev metrics: st1_macro_f1=0.665, st2_macro_f1=0.603, st3_macro_f1=0.381, st3_family_macro_f1=0.555, mean_macro_f1=0.550
2026-08-04 15:34:52,677 | INFO | MainThread | epoch 48: mean train loss = 0.2279
2026-08-04 15:35:02,649 | INFO | MainThread | epoch 48 dev metrics: st1_macro_f1=0.645, st2_macro_f1=0.608, st3_macro_f1=0.419, st3_family_macro_f1=0.585, mean_macro_f1=0.557
2026-08-04 15:36:45,349 | INFO | MainThread | epoch 49: mean train loss = 0.2174
2026-08-04 15:36:55,272 | INFO | MainThread | epoch 49 dev metrics: st1_macro_f1=0.659, st2_macro_f1=0.608, st3_macro_f1=0.439, st3_family_macro_f1=0.598, mean_macro_f1=0.569
2026-08-04 15:36:55,385 | INFO | MainThread | epoch 49: new best mean_macro_f1=0.569, saved to runs/lora_roberta/best
2026-08-04 15:38:38,231 | INFO | MainThread | epoch 50: mean train loss = 0.2195
2026-08-04 15:38:48,252 | INFO | MainThread | epoch 50 dev metrics: st1_macro_f1=0.650, st2_macro_f1=0.610, st3_macro_f1=0.403, st3_family_macro_f1=0.590, mean_macro_f1=0.554
2026-08-04 15:40:31,142 | INFO | MainThread | epoch 51: mean train loss = 0.2046
2026-08-04 15:40:41,192 | INFO | MainThread | epoch 51 dev metrics: st1_macro_f1=0.647, st2_macro_f1=0.588, st3_macro_f1=0.411, st3_family_macro_f1=0.575, mean_macro_f1=0.549
2026-08-04 15:42:24,022 | INFO | MainThread | epoch 52: mean train loss = 0.2092
2026-08-04 15:42:33,821 | INFO | MainThread | epoch 52 dev metrics: st1_macro_f1=0.634, st2_macro_f1=0.603, st3_macro_f1=0.413, st3_family_macro_f1=0.569, mean_macro_f1=0.550
2026-08-04 15:44:16,704 | INFO | MainThread | epoch 53: mean train loss = 0.1979
2026-08-04 15:44:26,632 | INFO | MainThread | epoch 53 dev metrics: st1_macro_f1=0.639, st2_macro_f1=0.626, st3_macro_f1=0.415, st3_family_macro_f1=0.581, mean_macro_f1=0.560
2026-08-04 15:46:09,436 | INFO | MainThread | epoch 54: mean train loss = 0.1972
2026-08-04 15:46:19,484 | INFO | MainThread | epoch 54 dev metrics: st1_macro_f1=0.643, st2_macro_f1=0.605, st3_macro_f1=0.456, st3_family_macro_f1=0.620, mean_macro_f1=0.568
2026-08-04 15:48:02,264 | INFO | MainThread | epoch 55: mean train loss = 0.1837
2026-08-04 15:48:12,174 | INFO | MainThread | epoch 55 dev metrics: st1_macro_f1=0.648, st2_macro_f1=0.620, st3_macro_f1=0.445, st3_family_macro_f1=0.607, mean_macro_f1=0.571
2026-08-04 15:48:12,227 | INFO | MainThread | epoch 55: new best mean_macro_f1=0.571, saved to runs/lora_roberta/best
2026-08-04 15:49:55,049 | INFO | MainThread | epoch 56: mean train loss = 0.1777
2026-08-04 15:50:05,182 | INFO | MainThread | epoch 56 dev metrics: st1_macro_f1=0.658, st2_macro_f1=0.605, st3_macro_f1=0.414, st3_family_macro_f1=0.597, mean_macro_f1=0.559
2026-08-04 15:51:48,044 | INFO | MainThread | epoch 57: mean train loss = 0.1734
2026-08-04 15:51:57,881 | INFO | MainThread | epoch 57 dev metrics: st1_macro_f1=0.631, st2_macro_f1=0.616, st3_macro_f1=0.432, st3_family_macro_f1=0.600, mean_macro_f1=0.560
2026-08-04 15:53:40,656 | INFO | MainThread | epoch 58: mean train loss = 0.1757
2026-08-04 15:53:50,733 | INFO | MainThread | epoch 58 dev metrics: st1_macro_f1=0.664, st2_macro_f1=0.617, st3_macro_f1=0.402, st3_family_macro_f1=0.582, mean_macro_f1=0.561
2026-08-04 15:55:33,629 | INFO | MainThread | epoch 59: mean train loss = 0.1560
